step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
47,PAYMENT,9196.27,C137629485,0.0,0.0,M217553159,0.0,0.0,0,0
14,PAYMENT,3034.51,C791854331,20100.0,17065.49,M1121219741,0.0,0.0,0,0
33,TRANSFER,1448630.38,C101899927,1448630.38,0.0,C679483948,0.0,0.0,1,0
182,PAYMENT,13291.98,C1669577940,30834.0,17542.02,M1652764634,0.0,0.0,0,0
695,CASH_IN,262911.91,C2030502128,9679441.56,9942353.48,C133318643,2288008.62,2025096.71,0,0
16,CASH_OUT,48067.0,C737838720,20643.0,0.0,C347633256,2690985.01,2739052.01,0,0
356,PAYMENT,13452.07,C1910555806,20235.0,6782.93,M1846288083,0.0,0.0,0,0
189,CASH_IN,49799.81,C1517990352,83843.0,133642.81,C263967829,5111.94,0.0,0,0
258,PAYMENT,22437.38,C1108682603,0.0,0.0,M699261863,0.0,0.0,0,0
322,CASH_OUT,9208368.83,C1490382663,9208368.83,0.0,C601562346,115423.33,9323792.17,1,0
308,PAYMENT,30031.54,C1500864247,100489.0,70457.46,M1318274686,0.0,0.0,0,0
16,CASH_OUT,8557.43,C1450461522,0.0,0.0,C675104605,169694.17,283463.58,0,0
396,CASH_IN,120103.42,C321511704,0.0,120103.42,C64073020,603506.55,483403.13,0,0
211,PAYMENT,5830.37,C1571118812,140191.3,134360.94,M497563870,0.0,0.0,0,0
346,PAYMENT,30153.26,C1165795580,103366.0,73212.74,M709480403,0.0,0.0,0,0
8,CASH_OUT,1996.17,C858959216,1996.17,0.0,C864078397,2559.74,4555.92,1,0
254,CASH_OUT,272633.8,C1139690834,0.0,0.0,C788728398,830627.35,1103261.15,0,0
249,PAYMENT,5455.08,C699519198,0.0,0.0,M82416538,0.0,0.0,0,0
356,CASH_IN,192984.31,C994656771,42897.0,235881.31,C1734753839,2026711.21,1833726.9,0,0
231,CASH_IN,85408.44,C1916241984,726464.75,811873.19,C160933819,1131861.22,1046452.78,0,0
42,CASH_OUT,29579.08,C676672657,0.0,0.0,C1381493119,3929572.06,3959151.14,0,0
225,PAYMENT,1743.26,C1807996775,38636.0,36892.74,M154610056,0.0,0.0,0,0
41,CASH_IN,333253.15,C999247430,221272.0,554525.15,C830922963,0.0,0.0,0,0
346,PAYMENT,11293.22,C1486500071,332643.37,321350.15,M4371450,0.0,0.0,0,0
39,PAYMENT,1305.25,C1095541694,118.0,0.0,M911743670,0.0,0.0,0,0
93,CASH_OUT,93126.66,C2006232183,256.0,0.0,C1325957065,0.0,93126.66,0,0
231,CASH_OUT,256047.4,C439574175,0.0,0.0,C942187591,9083378.56,9339425.96,0,0
331,CASH_IN,264856.86,C1649240044,6703900.23,6968757.09,C309555938,1314152.81,1049295.95,0,0
278,CASH_OUT,132594.45,C367242728,0.0,0.0,C390573182,636692.65,769287.1,0,0
43,PAYMENT,11161.18,C382623279,57424.48,46263.3,M1129357802,0.0,0.0,0,0
354,TRANSFER,222294.46,C471927008,0.0,0.0,C1073123945,11375134.94,11597429.41,0,0
298,CASH_OUT,194146.0,C929818056,10842.0,0.0,C1575101872,441323.95,635469.95,0,0
208,CASH_OUT,32076.93,C654899531,0.0,0.0,C1012533264,82359.9,114436.83,0,0
307,PAYMENT,5264.5,C1571865329,0.0,0.0,M408845166,0.0,0.0,0,0
640,TRANSFER,40867.66,C92605772,40867.66,0.0,C296814369,0.0,0.0,1,0
601,PAYMENT,2469.34,C260647087,88.0,0.0,M969008909,0.0,0.0,0,0
209,PAYMENT,3166.96,C648500393,156371.0,153204.04,M599517296,0.0,0.0,0,0
318,CASH_OUT,756426.12,C1801267260,756426.12,0.0,C1693181403,1612984.89,2369411.01,1,0
661,TRANSFER,2140888.35,C341573287,2140888.35,0.0,C1419097479,0.0,0.0,1,0
573,TRANSFER,162738.44,C1151526459,0.0,0.0,C298681821,2941460.77,3104199.21,0,0
234,CASH_IN,91719.12,C1073722297,4112747.36,4204466.49,C1491029559,152111.0,0.0,0,0
332,CASH_OUT,38505.91,C1353292698,18184.0,0.0,C1337912136,7909.77,46415.68,0,0
673,PAYMENT,2938.17,C729323551,13945.77,11007.6,M301205127,0.0,0.0,0,0
297,TRANSFER,3105902.49,C483009518,3105902.49,0.0,C1272462265,0.0,0.0,1,0
300,CASH_OUT,175410.03,C978008170,0.0,0.0,C1423629288,490894.27,666304.3,0,0
20,TRANSFER,40404.29,C1567801236,0.0,0.0,C561167332,719573.46,759977.75,0,0
404,CASH_OUT,361958.01,C1994561777,0.0,0.0,C936136961,581619.19,943577.19,0,0
253,PAYMENT,17456.0,C996786253,175590.1,158134.1,M1779104589,0.0,0.0,0,0
415,CASH_OUT,1675153.28,C2137951962,1675153.28,0.0,C309573869,12832.26,1687985.53,1,0
94,CASH_OUT,2393539.65,C1767333284,2393539.65,0.0,C610460069,5157128.07,7550667.73,1,0
334,CASH_IN,368144.28,C7261502,2119409.72,2487554.0,C571371147,1443615.68,1075471.4,0,0
394,CASH_OUT,29668.55,C1043446851,0.0,0.0,C493485119,2563936.5,2593605.05,0,0
9,PAYMENT,24159.89,C165920485,30.0,0.0,M1669344666,0.0,0.0,0,0
407,CASH_OUT,227975.05,C139056329,31010.55,0.0,C1925044967,2333420.47,2561395.52,0,0
369,PAYMENT,34100.19,C1226728206,0.0,0.0,M2076212800,0.0,0.0,0,0
204,PAYMENT,13848.86,C266032411,0.0,0.0,M1196620390,0.0,0.0,0,0
188,PAYMENT,4116.2,C1469947124,167684.28,163568.08,M1449130335,0.0,0.0,0,0
402,CASH_IN,304528.4,C1385950531,16175793.51,16480321.91,C1262932423,11859203.44,11554675.04,0,0
14,CASH_IN,16859.77,C1784008049,20553.0,37412.77,C372218175,0.0,0.0,0,0
139,CASH_IN,221651.28,C634604997,3329023.46,3550674.74,C511621111,4276924.52,4055273.24,0,0
162,CASH_IN,208478.45,C65294849,22051365.15,22259843.6,C239117901,403134.3,194655.86,0,0
43,CASH_OUT,241576.3,C1800642129,11069.0,0.0,C1095516877,32230.29,273806.58,0,0
43,CASH_OUT,151182.18,C97881391,20555.0,0.0,C1423468760,0.0,151182.18,0,0
323,PAYMENT,45000.9,C279284723,0.0,0.0,M784323152,0.0,0.0,0,0
210,CASH_OUT,55292.63,C540377403,39853.0,0.0,C1663824951,5074199.46,5129492.09,0,0
472,DEBIT,364.98,C1962486403,20664.0,20299.02,C662787209,12930976.13,12931341.11,0,0
183,DEBIT,5302.41,C1533118284,0.0,0.0,C1128319631,279661.21,284963.62,0,0
257,CASH_OUT,211186.03,C783357937,211186.03,0.0,C2142384602,58283.43,269469.46,1,0
36,PAYMENT,838.37,C1306975018,0.0,0.0,M880069825,0.0,0.0,0,0
161,CASH_OUT,5631.53,C970527176,272267.66,266636.13,C121774589,3839581.19,3845212.72,0,0
229,CASH_OUT,352769.93,C551214875,0.0,0.0,C1541437701,1383862.38,1736632.32,0,0
41,CASH_OUT,280843.85,C778410142,112183.0,0.0,C67650141,0.0,280843.85,0,0
259,CASH_OUT,301951.21,C7704941,42835.0,0.0,C681884557,0.0,301951.21,0,0
442,CASH_OUT,2758096.0,C868212192,2758096.0,0.0,C678830967,128192.29,2886288.29,1,0
332,CASH_OUT,202853.44,C613830767,14909.34,0.0,C1084518974,220600.73,423454.18,0,0
19,CASH_OUT,818359.03,C32130132,0.0,0.0,C20833243,1633275.1,2451634.13,0,0
258,CASH_IN,478958.71,C92406804,5682021.1,6160979.82,C688446131,1906784.53,1427825.82,0,0
612,TRANSFER,346183.99,C2061792169,346183.99,0.0,C966741210,0.0,0.0,1,0
129,PAYMENT,7204.86,C2133497607,0.0,0.0,M1806887795,0.0,0.0,0,0
252,CASH_IN,653553.15,C1828931370,7944081.73,8597634.88,C974332436,789345.65,135792.5,0,0
382,PAYMENT,7169.74,C1805931166,154859.0,147689.26,M1354763873,0.0,0.0,0,0
403,PAYMENT,162.03,C1188371319,2453.0,2290.97,M1896169049,0.0,0.0,0,0
252,CASH_IN,188375.83,C1617775561,1095.0,189470.83,C1574553384,0.0,0.0,0,0
227,CASH_IN,247158.84,C1570031258,1474577.31,1721736.14,C320899282,2192376.63,1945217.79,0,0
182,CASH_OUT,515127.47,C1297948369,15198.0,0.0,C962120855,6232509.14,6747636.62,0,0
10,PAYMENT,46136.33,C19865275,615205.32,569069.0,M1972162550,0.0,0.0,0,0
17,PAYMENT,21946.32,C1165130948,69367.0,47420.68,M815267650,0.0,0.0,0,0
618,TRANSFER,114483.78,C1911994336,114483.78,0.0,C1235106640,0.0,0.0,1,0
474,CASH_OUT,1499869.54,C285314242,1499869.54,0.0,C345891541,9546574.32,11046443.85,1,0
34,PAYMENT,23652.58,C598208052,26948.5,3295.92,M388712834,0.0,0.0,0,0
282,PAYMENT,12062.33,C1133377698,25996.74,13934.41,M151020755,0.0,0.0,0,0
181,CASH_IN,85354.4,C918098488,586079.0,671433.4,C669865371,284976.44,199622.04,0,0
355,PAYMENT,5820.44,C1458457148,0.0,0.0,M974006048,0.0,0.0,0,0
299,CASH_OUT,5166728.87,C371181257,5166728.87,0.0,C1648449094,0.0,5166728.87,1,0
154,CASH_IN,141734.01,C1022585193,46974.0,188708.01,C248669446,0.0,0.0,0,0
350,PAYMENT,5801.27,C1606672677,0.0,0.0,M443209643,0.0,0.0,0,0
137,PAYMENT,14405.07,C377862462,6090.0,0.0,M1777892786,0.0,0.0,0,0
182,CASH_IN,358562.02,C1712320031,10322.0,368884.02,C1588276479,0.0,0.0,0,0
42,CASH_OUT,125889.89,C802647924,0.0,0.0,C811969419,513521.68,645418.76,0,0
187,PAYMENT,14622.15,C1756391009,0.0,0.0,M430687783,0.0,0.0,0,0
82,TRANSFER,1534985.07,C1000937208,1534985.07,0.0,C1880907151,0.0,0.0,1,0
158,CASH_IN,107879.87,C1155823302,5157.0,113036.87,C969938899,70699.8,0.0,0,0
331,PAYMENT,10600.54,C1644924464,0.0,0.0,M1169425908,0.0,0.0,0,0
34,CASH_OUT,202859.08,C1640990353,57454.0,0.0,C1602168591,82568.04,285427.12,0,0
383,CASH_OUT,4104942.7,C2019434914,4104942.7,0.0,C1700021809,131668.24,4236610.94,1,0
